,x,y
3099,quick  rush speed now,8
3100,speed up promptly,8
3101,accelerate rapidly now,8
3102,speed up urgently,8
3103,propel faster immediately,8
3104,speed up briskly now,8
3105,quick  gain speed,8
3106,speed up dramatically,8
3107,intensify pace urgently now,8
3108,speed up briskly,8
3109,quick  rush speed now,8
3110,speed up promptly,8
3111,accelerate rapidly now,8
3112,speed up urgently,8
3113,propel faster immediately,8
3114,speed up briskly now,8
3115,quick  gain speed,8
3116,speed up dramatically,8
3117,intensify pace urgently now,8
3118,speed up briskly,8
3119,quick  rush speed now,8
3120,speed up promptly,8
3121,accelerate rapidly now,8
3122,speed up urgently,8
3123,propel faster immediately,8
3124,speed up briskly now,8
3125,quick  gain speed,8
3126,speed up dramatically,8
3127,intensify pace urgently now,8
3128,speed up briskly,8
3129,quick  rush speed now,8
3130,speed up promptly,8
3131,accelerate rapidly now,8
3132,speed up urgently,8
3133,propel faster immediately,8
3134,speed up briskly now,8
3135,quick  gain speed,8
3136,speed up dramatically,8
3137,intensify pace urgently now,8
3138,speed up briskly,8
3139,reduce speed gradually,9
3140,slow down immediately,9
3141,decrease speed gently,9
3142,slow down cautiously,9
3143,lessen pace smoothly,9
3144,slow down promptly,9
3145,diminish speed carefully,9
3146,slow down gently,9
3147,ease speed steadily,9
3148,slow down gradually,9
3149,lower pace cautiously,9
3150,slow down efficiently,9
3151,taper speed slowly,9
3152,slow down prudently,9
3153,curb speed methodically,9
3154,slow down carefully,9
3155,minimize speed gently,9
3156,slow down steadily,9
3157,restrict pace gradually,9
3158,slow down deliberately,9
3159,brake speed slowly,9
3160,slow down attentively,9
3161,decelerate pace gently,9
3162,slow down evenly,9
3163,moderate speed gradually,9
3164,slow down sensibly,9
3165,temper pace cautiously,9
3166,slow down methodically,9
3167,constrain speed gently,9
3168,slow down reliably,9
3169,abate pace steadily,9
3170,slow down prudently,9
3171,reduce speed carefully,9
3172,slow down moderately,9
3173,control pace gently,9
3174,slow down cautiously,9
3175,decrease speed gradually,9
3176,slow down systematically,9
3177,lessen pace gently,9
3178,slow down dependably,9
3179,diminish speed prudently,9
3180,slow down consistently,9
3181,ease pace cautiously,9
3182,slow down cautiously,9
3183,lower speed methodically,9
3184,slow down efficiently,9
3185,taper pace gently,9
3186,slow down attentively,9
3187,curb speed gradually,9
3188,slow down gently,9
3189,minimize pace cautiously,9
3190,slow down smoothly,9
3191,restrict speed carefully,9
3192,slow down gradually,9
3193,brake pace gently,9
3194,slow down cautiously,9
3195,decelerate speed prudently,9
3196,slow down evenly,9
3197,moderate pace carefully,9
3198,slow down steadily,9
3199,temper speed gradually,9
3200,slow down cautiously,9
3201,constrain pace gently,9
3202,slow down methodically,9
3203,abate speed prudently,9
3204,slow down cautiously,9
3205,reduce pace gradually,9
3206,slow down evenly,9
3207,control speed gently,9
3208,slow down reliably,9
3209,decrease pace gradually,9
3210,slow down cautiously,9
3211,lessen speed prudently,9
3212,slow down systematically,9
3213,diminish pace gradually,9
3214,slow down consistently,9
3215,ease speed carefully,9
3216,slow down gradually,9
3217,lower pace cautiously,9
3218,slow down gently,9
3219,taper speed steadily,9
3220,slow down efficiently,9
3221,curb pace gradually,9
3222,slow down attentively,9
3223,minimize speed prudently,9
3224,slow down gently,9
3225,restrict pace cautiously,9
3226,slow down steadily,9
3227,brake speed gradually,9
3228,slow down smoothly,9
3229,decelerate pace carefully,9
3230,slow down gradually,9
3231,moderate speed prudently,9
3232,slow down evenly,9
3233,temper pace cautiously,9
3234,slow down reliably,9
3235,constrain speed steadily,9
3236,slow down gradually,9
3237,abate pace carefully,9
3238,slow down gently,9
3239,reduce speed cautiously,9
3240,slow down systematically,9
3241,control pace steadily,9
3242,slow down gradually,9
3243,decrease speed prudently,9
3244,slow down consistently,9
3245,lessen pace carefully,9
3246,slow down evenly,9
3247,diminish speed steadily,9
3248,slow down cautiously,9
3249,ease pace gradually,9
3250,slow down efficiently,9
3251,lower speed prudently,9
3252,slow down gently,9
3253,taper pace steadily,9
3254,slow down reliably,9
3255,curb speed gradually,9
3256,slow down systematically,9
3257,minimize pace prudently,9
3258,slow down gradually,9
3259,restrict speed steadily,9
3260,slow down cautiously,9
3261,brake pace gradually,9
3262,slow down evenly,9
3263,decelerate speed prudently,9
3264,slow down consistently,9
3265,moderate pace steadily,9
3266,slow down gradually,9
3267,temper speed prudently,9
3268,slow down gently,9
3269,constrain pace steadily,9
3270,slow down gradually,9
3271,abate speed cautiously,9
3272,slow down systematically,9
3273,reduce pace steadily,9
3274,slow down efficiently,9
3275,control speed prudently,9
3276,slow down evenly,9
3277,decrease pace steadily,9
3278,slow down gradually,9
3279,lessen speed prudently,9
3280,slow down gently,9
3281,diminish pace steadily,9
3282,slow down consistently,9
3283,ease speed gradually,9
3284,slow down efficiently,9
3285,lower pace prudently,9
3286,slow down steadily,9
3287,taper speed gradually,9
3288,slow down cautiously,9
3289,curb pace steadily,9
3290,slow down reliably,9
3291,minimize speed gradually,9
3292,slow down systematically,9
3293,restrict pace prudently,9
3294,slow down gradually,9
3295,brake speed steadily,9
3296,slow down evenly,9
3297,decelerate pace gradually,9
3298,slow down efficiently,9
3299,moderate speed prudently,9
3300,slow down steadily,9
3301,temper pace gradually,9
3302,slow down cautiously,9
3303,constrain speed steadily,9
3304,slow down systematically,9
3305,abate pace prudently,9
3306,slow down gradually,9
3307,reduce speed steadily,9
3308,slow down efficiently,9
3309,control pace prudently,9
3310,slow down evenly,9
3311,decrease speed steadily,9
3312,slow down gradually,9
3313,lessen pace prudently,9
3314,slow down steadily,9
3315,diminish speed gradually,9
3316,slow down systematically,9
3317,ease pace prudently,9
3318,slow down gradually,9
3319,lower speed steadily,9
3320,slow down evenly,9
3321,taper pace prudently,9
3322,slow down steadily,9
3323,curb speed gradually,9
3324,slow down systematically,9
3325,minimize pace prudently,9
3326,slow down gradually,9
3327,restrict speed steadily,9
3328,slow down efficiently,9
3329,brake pace prudently,9
3330,slow down steadily,9
3331,decelerate speed gradually,9
3332,slow down evenly,9
3333,moderate pace prudently,9
3334,slow down steadily,9
3335,temper speed gradually,9
3336,slow down systematically,9
3337,constrain pace prudently,9
3338,slow down gradually,9
3339,abate speed steadily,9
3340,slow down efficiently,9
3341,reduce pace prudently,9
3342,slow down evenly,9
3343,control speed steadily,9
3344,slow down gradually,9
3345,decrease pace prudently,9
3346,slow down steadily,9
3347,lessen speed gradually,9
3348,slow down systematically,9
3349,diminish pace prudently,9
3350,slow down gradually,9
3351,ease speed steadily,9
3352,slow down efficiently,9
3353,lower pace prudently,9
3354,slow down evenly,9
3355,taper speed steadily,9
3356,slow down gradually,9
3357,curb pace prudently,9
3358,slow down systematically,9
3359,minimize speed steadily,9
3360,slow down gradually,9
3361,restrict pace prudently,9
3362,slow down evenly,9
3363,brake speed steadily,9
3364,slow down gradually,9
3365,decelerate pace prudently,9
3366,slow down efficiently,9
3367,moderate speed steadily,9
3368,slow down gradually,9
3369,temper pace prudently,9
3370,slow down evenly,9
3371,constrain speed steadily,9
3372,slow down gradually,9
3373,abate pace prudently,9
3374,slow down systematically,9
3375,reduce speed steadily,9
3376,slow down gradually,9
3377,control pace prudently,9
3378,slow down efficiently,9
3379,decrease speed steadily,9
3380,slow down gradually,9
3381,lessen pace prudently,9
3382,slow down evenly,9
3383,diminish speed steadily,9
3384,slow down gradually,9
3385,ease pace prudently,9
3386,slow down systematically,9
3387,lower speed steadily,9
3388,slow down gradually,9
3389,taper pace prudently,9
3390,slow down evenly,9
3391,curb speed steadily,9
3392,slow down gradually,9
3393,minimize pace prudently,9
3394,slow down systematically,9
3395,restrict speed steadily,9
3396,slow down gradually,9
3397,brake pace prudently,9
3398,slow down evenly,9
3399,decelerate speed steadily,9
3400,slow down gradually,9
3401,moderate pace prudently,9
3402,slow down efficiently,9
3403,temper speed steadily,9
3404,slow down gradually,9
3405,constrain pace prudently,9
3406,slow down evenly,9
3407,abate speed steadily,9
3408,slow down gradually,9
3409,reduce pace prudently,9
3410,slow down systematically,9
3411,control speed steadily,9
3412,slow down gradually,9
3413,decrease pace prudently,9
3414,slow down efficiently,9
3415,lessen speed steadily,9
3416,slow down gradually,9
3417,diminish pace prudently,9
3418,slow down evenly,9
3419,ease speed steadily,9
3420,slow down gradually,9
3421,lower pace prudently,9
3422,slow down systematically,9
3423,taper speed steadily,9
3424,slow down gradually,9
3425,curb pace prudently,9
3426,slow down evenly,9
3427,minimize speed steadily,9
3428,slow down gradually,9
3429,restrict pace prudently,9
3430,slow down systematically,9
3431,brake speed steadily,9
3432,slow down gradually,9
3433,decelerate pace prudently,9
3434,slow down evenly,9
3435,moderate speed steadily,9
3436,slow down gradually,9
3437,temper pace prudently,9
3438,slow down efficiently,9
3439,constrain speed steadily,9
3440,slow down gradually,9
3441,abate pace prudently,9
3442,slow down evenly,9
3443,reduce speed steadily,9
3444,slow down gradually,9
3445,control pace prudently,9
3446,slow down systematically,9
3447,decrease speed steadily,9
3448,slow down gradually,9
3449,lessen pace prudently,9
3450,slow down efficiently,9
3451,diminish speed steadily,9
3452,slow down gradually,9
3453,ease pace prudently,9
3454,slow down evenly,9
3455,lower speed steadily,9
3456,slow down gradually,9
3457,taper pace prudently,9
3458,slow down systematically,9
3459,curb speed steadily,9
3460,slow down gradually,9
3461,minimize pace prudently,9
3462,slow down evenly,9
3463,restrict speed steadily,9
3464,slow down gradually,9
3465,brake pace prudently,9
3466,slow down systematically,9
3467,decelerate speed steadily,9
3468,slow down gradually,9
3469,moderate pace prudently,9
3470,slow down evenly,9
3471,temper speed steadily,9
3472,slow down gradually,9
3473,constrain pace prudently,9
3474,slow down efficiently,9
3475,abate speed steadily,9
3476,slow down gradually,9
3477,reduce pace prudently,9
3478,slow down evenly,9
3479,control speed steadily,9
3480,slow down gradually,9
3481,decrease pace prudently,9
3482,slow down systematically,9
3483,lessen speed steadily,9
3484,slow down gradually,9
3485,diminish pace prudently,9
3486,slow down evenly,9
3487,ease speed steadily,9
3488,slow down gradually,9
3489,lower pace prudently,9
3490,slow down systematically,9
3491,taper speed steadily,9
3492,slow down gradually,9
3493,curb pace prudently,9
3494,slow down evenly,9
3495,minimize speed steadily,9
3496,slow down gradually,9
3497,restrict pace prudently,9
3498,slow down systematically,9
3499,brake speed steadily,9
3500,slow down gradually,9
3501,decelerate pace prudently,9
3502,slow down evenly,9
3503,moderate speed steadily,9
3504,slow down gradually,9
3505,temper pace prudently,9
3506,slow down efficiently,9
3507,constrain speed steadily,9
3508,slow down gradually,9
3509,abate pace prudently,9
3510,slow down evenly,9
3511,reduce speed steadily,9
3512,slow down gradually,9
3513,control pace prudently,9
3514,slow down systematically,9
3515,decrease speed steadily,9
3516,slow down gradually,9
3517,lessen pace prudently,9
3518,slow down efficiently,9
3519,diminish speed steadily,9
3520,slow down gradually,9
3521,ease pace prudently,9
3522,slow down evenly,9
3523,lower speed steadily,9
3524,slow down gradually,9
3525,taper pace prudently,9
3526,slow down systematically,9
3527,curb speed steadily,9
3528,slow down gradually,9
3529,minimize pace prudently,9
3530,slow down evenly,9
3531,restrict speed steadily,9
3532,slow down gradually,9
3533,brake pace prudently,9
3534,slow down systematically,9
3535,decelerate speed steadily,9
3536,slow down gradually,9
3537,moderate pace prudently,9
3538,slow down evenly,9
3539,temper speed steadily,9
3540,slow down gradually,9
3541,constrain pace prudently,9
3542,slow down efficiently,9
3543,abate speed steadily,9
3544,slow down gradually,9
3545,reduce pace prudently,9
3546,slow down evenly,9
3547,control speed steadily,9
3548,slow down gradually,9
3549,decrease pace prudently,9
3550,slow down systematically,9
3551,lessen speed steadily,9
3552,slow down gradually,9
3553,diminish pace prudently,9
3554,slow down evenly,9
3555,ease speed steadily,9
3556,slow down gradually,9
3557,lower pace prudently,9
3558,slow down systematically,9
3559,taper speed steadily,9
3560,slow down gradually,9
3561,curb pace prudently,9
3562,slow down evenly,9
3563,minimize speed steadily,9
3564,slow down gradually,9
3565,restrict pace prudently,9
3566,slow down systematically,9
3567,brake speed steadily,9
3568,slow down gradually,9
3569,decelerate pace prudently,9
3570,slow down evenly,9
3571,moderate speed steadily,9
3572,slow down gradually,9
3573,temper pace prudently,9
3574,slow down efficiently,9
3575,constrain speed steadily,9
3576,slow down gradually,9
3577,abate pace prudently,9
3578,slow down evenly,9
3579,reduce speed steadily,9
3580,slow down gradually,9
3581,control pace prudently,9
3582,slow down systematically,9
3583,decrease speed steadily,9
3584,slow down gradually,9
3585,lessen pace prudently,9
3586,slow down efficiently,9
3587,diminish speed steadily,9
3588,slow down gradually,9
3589,ease pace prudently,9
3590,slow down evenly,9
3591,lower speed steadily,9
3592,slow down gradually,9
3593,taper pace prudently,9
3594,slow down systematically,9
3595,curb speed steadily,9
3596,slow down gradually,9
3597,minimize pace prudently,9
3598,slow down evenly,9
3599,restrict speed steadily,9
3600,slow down gradually,9
3601,brake pace prudently,9
3602,slow down systematically,9
3603,decelerate speed steadily,9
3604,slow down gradually,9
3605,moderate pace prudently,9
3606,slow down evenly,9
3607,temper speed steadily,9
3608,slow down gradually,9
3609,constrain pace prudently,9
3610,slow down efficiently,9
3611,abate speed steadily,9
3612,slow down gradually,9
3613,reduce pace prudently,9
3614,slow down evenly,9
3615,control speed steadily,9
3616,slow down gradually,9
3617,decrease pace prudently,9
3618,slow down systematically,9
3619,lessen speed steadily,9
3620,slow down gradually,9
3621,diminish pace prudently,9
3622,slow down evenly,9
3623,ease speed steadily,9
3624,slow down gradually,9
3625,lower pace prudently,9
3626,slow down systematically,9
3627,taper speed steadily,9
3628,slow down gradually,9
3629,curb pace prudently,9
3630,slow down evenly,9
3631,minimize speed steadily,9
3632,slow down gradually,9
3633,restrict pace prudently,9
3634,slow down systematically,9
3635,brake speed steadily,9
3636,slow down gradually,9
3637,decelerate pace prudently,9
3638,slow down evenly,9
3639,moderate speed steadily,9
3640,slow down gradually,9
3641,temper pace prudently,9
3642,slow down efficiently,9
3643,constrain speed steadily,9
3644,slow down gradually,9
3645,abate pace prudently,9
3646,slow down evenly,9
3647,reduce speed steadily,9
3648,slow down gradually,9
3649,control pace prudently,9
3650,slow down systematically,9
3651,decrease speed steadily,9
3652,slow down gradually,9
3653,lessen pace prudently,9
3654,slow down efficiently,9
3655,diminish speed steadily,9
3656,slow down gradually,9
3657,ease pace prudently,9
3658,slow down evenly,9
3659,lower speed steadily,9
3660,slow down gradually,9
3661,taper pace prudently,9
3662,slow down systematically,9
3663,curb speed steadily,9
3664,slow down gradually,9
3665,minimize pace prudently,9
3666,slow down evenly,9
3667,restrict speed steadily,9
3668,slow down gradually,9
3669,brake pace prudently,9
3670,slow down systematically,9
3671,decelerate speed steadily,9
3672,slow down gradually,9
3673,moderate pace prudently,9
3674,slow down evenly,9
3675,temper speed steadily,9
3676,slow down gradually,9
3677,constrain pace prudently,9
3678,slow down efficiently,9
3679,abate speed steadily,9
3680,slow down gradually,9
3681,reduce pace prudently,9
3682,slow down evenly,9
3683,control speed steadily,9
3684,slow down gradually,9
3685,decrease pace prudently,9
3686,slow down systematically,9
3687,lessen speed steadily,9
3688,slow down gradually,9
3689,diminish pace prudently,9
3690,slow down evenly,9
3691,ease speed steadily,9
3692,slow down gradually,9
3693,lower pace prudently,9
3694,slow down systematically,9
3695,taper speed steadily,9
3696,slow down gradually,9
3697,curb pace prudently,9
3698,slow down evenly,9
3699,minimize speed steadily,9
3700,slow down gradually,9
3701,restrict pace prudently,9
3702,slow down systematically,9
3703,brake speed steadily,9
3704,slow down gradually,9
3705,decelerate pace prudently,9
3706,slow down evenly,9
3707,moderate speed steadily,9
3708,slow down gradually,9
3709,temper pace prudently,9
3710,slow down efficiently,9
3711,constrain speed steadily,9
3712,slow down gradually,9
3713,abate pace prudently,9
3714,slow down evenly,9
3715,reduce speed steadily,9
3716,slow down gradually,9
3717,control pace prudently,9
3718,slow down systematically,9
3719,decrease speed steadily,9
3720,slow down gradually,9
3721,lessen pace prudently,9
3722,slow down efficiently,9
3723,diminish speed steadily,9
3724,slow down gradually,9
3725,ease pace prudently,9
3726,slow down evenly,9
3727,lower speed steadily,9
3728,slow down gradually,9
3729,taper pace prudently,9
3730,slow down systematically,9
3731,curb speed steadily,9
3732,slow down gradually,9
3733,minimize pace prudently,9
3734,slow down evenly,9
3735,restrict speed steadily,9
3736,slow down gradually,9
3737,brake pace prudently,9
3738,slow down systematically,9
3739,decelerate speed steadily,9
3740,slow down gradually,9
3741,moderate pace prudently,9
3742,slow down evenly,9
3743,temper speed steadily,9
3744,slow down gradually,9
3745,constrain pace prudently,9
3746,slow down efficiently,9
3747,abate speed steadily,9
3748,slow down gradually,9
3749,reduce pace prudently,9
3750,slow down evenly,9
3751,control speed steadily,9
3752,slow down gradually,9
3753,decrease pace prudently,9
3754,slow down systematically,9
3755,lessen speed steadily,9
3756,slow down gradually,9
3757,diminish pace prudently,9
3758,slow down evenly,9
3759,ease speed steadily,9
3760,slow down gradually,9
3761,lower pace prudently,9
3762,slow down systematically,9
3763,taper speed steadily,9
3764,slow down gradually,9
3765,curb pace prudently,9
3766,slow down evenly,9
3767,minimize speed steadily,9
3768,slow down gradually,9
3769,restrict pace prudently,9
3770,slow down systematically,9
3771,brake speed steadily,9
3772,slow down gradually,9
3773,decelerate pace prudently,9
3774,slow down evenly,9
3775,moderate speed steadily,9
3776,slow down gradually,9
3777,temper pace prudently,9
3778,slow down efficiently,9
3779,constrain speed steadily,9
3780,slow down gradually,9
3781,abate pace prudently,9
3782,slow down evenly,9
3783,reduce speed steadily,9
3784,slow down gradually,9
3785,control pace prudently,9
3786,slow down systematically,9
3787,decrease speed steadily,9
3788,slow down gradually,9
3789,lessen pace prudently,9
3790,slow down efficiently,9
3791,diminish speed steadily,9
3792,slow down gradually,9
3793,ease pace prudently,9
3794,slow down evenly,9
3795,lower speed steadily,9
3796,slow down gradually,9
3797,taper pace prudently,9
3798,slow down systematically,9
3799,curb speed steadily,9
3800,slow down gradually,9
3801,minimize pace prudently,9
3802,slow down evenly,9
3803,restrict speed steadily,9
3804,slow down gradually,9
3805,brake pace prudently,9
3806,slow down systematically,9
3807,decelerate speed steadily,9
3808,slow down gradually,9
3809,moderate pace prudently,9
3810,slow down evenly,9
3811,temper speed steadily,9
3812,slow down gradually,9
3813,constrain pace prudently,9
3814,slow down efficiently,9
3815,abate speed steadily,9
3816,slow down gradually,9
3817,reduce pace prudently,9
3818,slow down evenly,9
3819,control speed steadily,9
3820,slow down gradually,9
3821,decrease pace prudently,9
3822,slow down systematically,9
3823,lessen speed steadily,9
3824,slow down gradually,9
3825,diminish pace prudently,9
3826,slow down evenly,9
3827,ease speed steadily,9
3828,slow down gradually,9
3829,lower pace prudently,9
3830,slow down systematically,9
3831,taper speed steadily,9
3832,slow down gradually,9
3833,curb pace prudently,9
3834,slow down evenly,9
3835,minimize speed steadily,9
3836,slow down gradually,9
3837,restrict pace prudently,9
3838,slow down systematically,9
3839,brake speed steadily,9
3840,slow down gradually,9
3841,decelerate pace prudently,9
3842,slow down evenly,9
3843,moderate speed steadily,9
3844,slow down gradually,9
3845,temper pace prudently,9
3846,slow down efficiently,9
3847,constrain speed steadily,9
3848,slow down gradually,9
3849,abate pace prudently,9
3850,slow down evenly,9
3851,reduce speed steadily,9
3852,slow down gradually,9
3853,control pace prudently,9
3854,slow down systematically,9
3855,decrease speed steadily,9
3856,slow down gradually,9
3857,lessen pace prudently,9
3858,slow down efficiently,9
3859,diminish speed steadily,9
3860,slow down gradually,9
3861,ease pace prudently,9
3862,slow down evenly,9
3863,lower speed steadily,9
3864,slow down gradually,9
3865,taper pace prudently,9
3866,slow down systematically,9
3867,curb speed steadily,9
3868,slow down gradually,9
3869,minimize pace prudently,9
3870,slow down evenly,9
3871,restrict speed steadily,9
3872,slow down gradually,9
3873,brake pace prudently,9
3874,slow down systematically,9
3875,decelerate speed steadily,9
3876,slow down gradually,9
3877,moderate pace prudently,9
3878,slow down evenly,9
3879,temper speed steadily,9
3880,slow down gradually,9
3881,constrain pace prudently,9
3882,slow down efficiently,9
3883,abate speed steadily,9
3884,slow down gradually,9
3885,reduce pace prudently,9
3886,slow down evenly,9
3887,control speed steadily,9
3888,slow down gradually,9
3889,decrease pace prudently,9
3890,slow down systematically,9
3891,lessen speed steadily,9
3892,slow down gradually,9
3893,diminish pace prudently,9
3894,slow down evenly,9
3895,ease speed steadily,9
3896,slow down gradually,9
3897,lower pace prudently,9
3898,slow down systematically,9
3899,taper speed steadily,9
3900,slow down gradually,9
3901,curb pace prudently,9
3902,slow down evenly,9
3903,minimize speed steadily,9
3904,slow down gradually,9
3905,restrict pace prudently,9
3906,slow down systematically,9
3907,brake speed steadily,9
3908,slow down gradually,9
3909,decelerate pace prudently,9
3910,slow down evenly,9
3911,moderate speed steadily,9
3912,slow down gradually,9
3913,temper pace prudently,9
3914,slow down efficiently,9
3915,constrain speed steadily,9
3916,slow down gradually,9
3917,abate pace prudently,9
3918,slow down evenly,9
3919,reduce speed steadily,9
3920,slow down gradually,9
3921,control pace prudently,9
3922,slow down systematically,9
3923,decrease speed steadily,9
3924,slow down gradually,9
3925,lessen pace prudently,9
3926,slow down efficiently,9
3927,diminish speed steadily,9
3928,slow down gradually,9
3929,ease pace prudently,9
3930,slow down evenly,9
3931,lower speed steadily,9
3932,slow down gradually,9
3933,taper pace prudently,9
3934,slow down systematically,9
3935,curb speed steadily,9
3936,slow down gradually,9
3937,minimize pace prudently,9
3938,slow down evenly,9
3939,steer slightly to the left,10
3940,veer gently leftward,10
3941,adjust your direction slightly to the left,10
3942,move a little to the left,10
3943,take a slight left turn,10
3944,angle slightly left,10
3945,shift subtly to the left,10
3946,guide yourself gently left,10
3947,lean a bit to the left,10
3948,move slightly leftward,10
3949,navigate a slight left,10
3950,drift subtly to the left,10
3951,turn gently left,10
3952,slightly adjust your course to the left,10
3953,slide a little to the left,10
3954,move to the left a bit,10
3955,angle your path slightly left,10
3956,take a gentle left turn,10
3957,adjust course gently to the left,10
3958,move left just a little,10
3959,veer a touch to the left,10
3960,shift gently leftward,10
3961,move in a slightly leftward direction,10
3962,steer a little left,10
3963,tilt slightly to the left,10
3964,lean gently left,10
3965,direct your path slightly left,10
3966,slight left adjustment,10
3967,slightly left navigation,10
3968,glide gently to the left,10
3969,turn your wheel slightly left,10
3970,move subtly leftward,10
3971,gently angle left,10
3972,shift direction slightly left,10
3973,slight leftward movement,10
3974,turn a bit left,10
3975,navigate gently left,10
3976,angle your movement slightly left,10
3977,steer your course a little left,10
3978,move a touch to the left,10
3979,guide your direction slightly left,10
3980,subtly adjust left,10
3981,tilt a bit left,10
3982,veer off slightly left,10
3983,adjust your alignment slightly to the left,10
3984,slightly leftward glide,10
3985,gently shift to the left,10
3986,take a small left turn,10
3987,lean a touch left,10
3988,move in a gentle leftward direction,10
3989,slightly angle to the left,10
3990,move in a subtle leftward motion,10
3991,adjust your path gently left,10
3992,shift your course a bit left,10
3993,steer in a slight leftward direction,10
3994,subtly navigate left,10
3995,tilt your path gently left,10
3996,shift your direction a little left,10
3997,navigate a bit to the left,10
3998,slightly alter your course left,10
3999,steer left gently,10
4000,move slightly in a leftward direction,10
4001,gently adjust left,10
4002,slightly turn left,10
4003,guide your movement subtly left,10
4004,move just a little left,10
4005,angle slightly in a leftward direction,10
4006,adjust slightly to the left,10
4007,shift your path subtly left,10
4008,take a tiny left turn,10
4009,veer slightly in the left direction,10
4010,gently move leftward,10
4011,subtly steer left,10
4012,tilt a little to the left,10
4013,move a fraction to the left,10
4014,slightly change direction to the left,10
4015,gently lean left,10
4016,navigate a touch left,10
4017,move subtly in a leftward direction,10
4018,steer softly left,10
4019,adjust your heading slightly left,10
4020,guide your path gently left,10
4021,shift gently in a leftward direction,10
4022,subtly move left,10
4023,slightly veer leftward,10
4024,tilt gently to the left,10
4025,adjust your movement a bit left,10
4026,steer in a gentle leftward direction,10
4027,slightly shift left,10
4028,move gently in a leftward motion,10
4029,guide your direction a touch left,10
4030,adjust your course a little to the left,10
4031,move just slightly left,10
4032,subtly angle left,10
4033,shift your path gently to the left,10
4034,navigate subtly in a leftward direction,10
4035,gently steer leftward,10
4036,tilt your course slightly left,10
4037,shift in a gentle leftward direction,10
4038,slightly guide left,10
4039,move softly leftward,10
4040,subtly adjust your direction to the left,10
4041,gently tilt left,10
4042,steer left a bit,10
4043,move subtly in a leftward motion,10
4044,adjust your heading gently left,10
4045,navigate slightly leftward,10
4046,shift your alignment a touch left,10
4047,tilt slightly in a leftward direction,10
4048,guide your movement a bit left,10
4049,move softly to the left,10
4050,slightly alter your direction left,10
4051,gently shift course left,10
4052,subtly steer leftward,10
4053,tilt gently leftward,10
4054,move a little in a leftward direction,10
4055,adjust your course a fraction left,10
4056,gently adjust your path left,10
4057,shift a bit to the left,10
4058,slightly angle leftward,10
4059,steer in a subtle leftward direction,10
4060,tilt your direction slightly left,10
4061,move softly in a leftward direction,10
4062,adjust your alignment gently left,10
4063,navigate a fraction to the left,10
4064,subtly tilt left,10
4065,shift your heading a touch left,10
4066,move a bit in a leftward direction,10
4067,slightly steer leftward,10
4068,tilt gently in a leftward direction,10
4069,move your path subtly left,10
4070,slightly navigate left,10
4071,adjust your course softly left,10
4072,shift gently in a leftward motion,10
4073,move your direction a bit left,10
4074,slightly tilt to the left,10
4075,steer a touch leftward,10
4076,move subtly to the left,10
4077,adjust your path slightly leftward,10
4078,gently navigate left,10
4079,shift your movement a bit left,10
4080,slightly angle your direction left,10
4081,tilt your path a touch left,10
4082,move gently in a leftward direction,10
4083,slightly steer left,10
4084,adjust your heading a bit left,10
4085,navigate subtly to the left,10
4086,shift your direction gently left,10
4087,move your path a little to the left,10
4088,slightly alter your course leftward,10
4089,tilt your movement gently left,10
4090,steer softly in a leftward direction,10
4091,move subtly in a left direction,10
4092,adjust your alignment a bit to the left,10
4093,gently shift your course leftward,10
4094,tilt slightly to the left,10
4095,move your direction subtly left,10
4096,slightly steer in a leftward direction,10
4097,adjust your path a little leftward,10
4098,shift gently to the left,10
4099,navigate a bit in a leftward direction,10
4100,move your course slightly left,10
4101,slightly tilt leftward,10
4102,steer a little in a leftward direction,10
4103,adjust your movement subtly to the left,10
4104,tilt your heading gently left,10
4105,move a fraction in a leftward direction,10
4106,slightly guide your direction left,10
4107,adjust your path gently leftward,10
4108,shift softly to the left,10
4109,navigate your course a bit left,10
4110,move slightly to the left direction,10
4111,slightly tilt your direction left,10
4112,adjust your alignment subtly leftward,10
4113,gently steer in a leftward direction,10
4114,move a bit in a left direction,10
4115,slightly adjust your heading leftward,10
4116,shift your movement a little left,10
4117,navigate subtly leftward,10
4118,move your path gently to the left,10
4119,slightly angle your heading left,10
4120,tilt your course a bit leftward,10
4121,move gently to the left,10
4122,slightly adjust your direction left,10
4123,shift your alignment a touch leftward,10
4124,navigate a bit to the left direction,10
4125,move your heading slightly left,10
4126,tilt gently in a left direction,10
4127,adjust your course a bit leftward,10
4128,slightly steer your movement left,10
4129,shift gently in a left direction,10
4130,navigate subtly in a left direction,10
4131,move your alignment slightly leftward,10
4132,tilt your movement a bit left,10
4133,adjust your path softly to the left,10
4134,slightly guide your movement left,10
4135,shift your heading gently leftward,10
4136,move a bit in a leftward motion,10
4137,slightly tilt your course leftward,10
4138,adjust your movement gently left,10
4139,shift your path subtly leftward,10
4140,navigate a touch in a left direction,10
4141,move your heading a bit leftward,10
4142,slightly adjust your movement left,10
4143,tilt your direction gently leftward,10
4144,move softly in a left direction,10
4145,slightly steer your path leftward,10
4146,shift your alignment gently left,10
4147,navigate a little in a leftward direction,10
4148,move your course subtly leftward,10
4149,slightly angle your path left,10
4150,tilt your movement gently to the left,10
4151,move your direction softly leftward,10
4152,slightly adjust your course left,10
4153,shift gently in a leftward direction,10
4154,navigate subtly left,10
4155,move your heading a bit to the left,10
4156,slightly tilt your movement left,10
